"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7120","Login Test","vibetestq","2026-06-22","passed","2026-06-22","OrangeHRM End to End","POMTestSerialMode.spec.ts","",""
"","1","Test 3","vibetestq","2026-06-22","passed","2026-06-22","Hooks Sample","Hooks.spec.ts","",""
"","38575","Login once and add two employees in a single session","vibetestq","2026-06-22","passed","2026-06-22","POM with Base and Data","POMWithDDT.spec.ts","",""
"","17267","Create and Delete Employee using Xpath and CSS","vibetestq","2026-06-22","passed","2026-06-22","","POMWithBase.spec.ts","",""
"","7693","get started link","vibetestq","2026-06-22","passed","2026-06-22","","example.spec.ts","",""
"","26088","Create and Delete Employee using Xpath and CSS","vibetestq","2026-06-22","passed","2026-06-22","","Locators.spec.ts","",""
"","6910","login test using CSS selectors","vibetestq","2026-06-22","passed","2026-06-22","","test2Css.spec.ts","",""
"","31067","Create employee with file upload","vibetestq","2026-06-22","passed","2026-06-22","","WorkingwithFiles.spec.ts","",""
"","15571","Verify Tabs","vibetestq","2026-06-22","passed","2026-06-22","","WorkingWithTabs.spec.ts","",""
"","20455","Create and Delete Employee using Xpath and CSS","vibetestq","2026-06-22","passed","2026-06-22","","pagination.spec.ts","",""
"","26458","Create and Delete Employee using Xpath and CSS","vibetestq","2026-06-22","passed","2026-06-22","","CreateDelete.spec.ts","",""
"","1481","has title","vibetestq","2026-06-22","passed","2026-06-22","","example.spec.ts","",""
"","6005","Create and Delete Employee using Xpath and CSS - Open Source","vibetestq","2026-06-22","passed","2026-06-22","POM with Base and Data","POMWithBaseAndData.spec.ts","",""
"","7752","verify iframes","vibetestq","2026-06-22","passed","2026-06-22","","WorkingWithiframes.spec.ts","",""
"","20397","Verify APSRTC website","vibetestq","2026-06-22","passed","2026-06-22","","Apsrtc.spec.ts","",""
"","16794","Verify javaScript Alerts and Popups","vibetestq","2026-06-22","passed","2026-06-22","","WorkingwithAlerts.spec.ts","",""
"","1","Test 1","vibetestq","2026-06-22","passed","2026-06-22","Hooks Sample","Hooks.spec.ts","",""
"","10335","Add Employee","vibetestq","2026-06-22","passed","2026-06-22","OrangeHRM End to End","POMTestSerialMode.spec.ts","",""
"","17352","Create and Delete Employee using Xpath and CSS","vibetestq","2026-06-22","passed","2026-06-22","POM with Base and Data","POMWithBaseAndData.spec.ts","",""
"","1","Test 2","vibetestq","2026-06-22","passed","2026-06-22","Hooks Sample","Hooks.spec.ts","",""
"","18648","Create and Delete Employee using Xpath and CSS","vibetestq","2026-06-22","passed","2026-06-22","","POM.spec.ts","",""
"","27900","login test","vibetestq","2026-06-22","passed","2026-06-22","","test1.spec.ts","",""
"","8444","verify shadow dom elements","vibetestq","2026-06-22","passed","2026-06-22","","ShadowDomAuto.spec.ts","",""
